programa,start_segment,end_segment,pais1,pais2,pais_par
388,12121.8,12127.8,Argentina,Rússia,"('Argentina', 'Rússia')"
388,12121.8,12127.8,Brasil,Rússia,"('Brasil', 'Rússia')"
388,12728.8,12733.8,Israel,Mali,"('Israel', 'Mali')"
388,12760.8,12767.8,Israel,Palestina,"('Israel', 'Palestina')"
388,13201.8,13203.8,Argentina,Chile,"('Argentina', 'Chile')"
388,13235.8,13238.8,Argentina,Chile,"('Argentina', 'Chile')"
388,13379.8,13383.8,China,Rússia,"('China', 'Rússia')"
388,14028.8,14034.8,França,Índia,"('França', 'Índia')"
388,14132.8,14136.8,França,Índia,"('França', 'Índia')"
388,14160.8,14163.8,Azerbaijão,Estados Unidos,"('Azerbaijão', 'Estados Unidos')"
388,14230.8,14233.8,Azerbaijão,Irã,"('Azerbaijão', 'Irã')"
388,14242.8,14248.8,Azerbaijão,Irã,"('Azerbaijão', 'Irã')"
389,242.2,247.32,China,Rússia,"('China', 'Rússia')"
389,292.2,298.76,China,Itália,"('China', 'Itália')"
389,750.36,755.88,Estados Unidos,Filipinas,"('Estados Unidos', 'Filipinas')"
389,920.84,935.72,Austrália,Japão,"('Austrália', 'Japão')"
389,1271.88,1282.84,Angola,República Democrática do Congo,"('Angola', 'República Democrática do Congo')"
389,1923.14,1929.14,Brasil,Israel,"('Brasil', 'Israel')"
389,2020.14,2028.14,Israel,Turquia,"('Israel', 'Turquia')"
389,2020.14,2028.14,Israel,Palestina,"('Israel', 'Palestina')"
389,2020.14,2028.14,Palestina,Turquia,"('Palestina', 'Turquia')"
389,2055.14,2064.14,Israel,Turquia,"('Israel', 'Turquia')"
389,2095.14,2107.14,Alemanha,Estados Unidos,"('Alemanha', 'Estados Unidos')"
389,2190.14,2200.14,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
389,2514.14,2543.14,Brasil,Estados Unidos,"('Brasil', 'Estados Unidos')"
389,2847.1,2875.1,Iraque,Turquia,"('Iraque', 'Turquia')"
389,2875.1,2903.1,Estados Unidos,Iraque,"('Estados Unidos', 'Iraque')"
389,2925.1,2954.1,Estados Unidos,Turquia,"('Estados Unidos', 'Turquia')"
389,3056.1,3077.1,Israel,Rússia,"('Israel', 'Rússia')"
389,3626.1,3644.1,Estados Unidos,Rússia,"('Estados Unidos', 'Rússia')"
389,3644.1,3662.1,China,Turquia,"('China', 'Turquia')"
389,4120.1,4147.1,Israel,Síria,"('Israel', 'Síria')"
389,4454.38,4460.34,Alemanha,Rússia,"('Alemanha', 'Rússia')"
389,4486.3,4491.02,Estados Unidos,Irã,"('Estados Unidos', 'Irã')"
389,4491.02,4497.38,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
389,4665.1,4672.54,Irã,Israel,"('Irã', 'Israel')"
389,4683.02,4690.02,Irã,Israel,"('Irã', 'Israel')"
389,5527.76,5534.72,França,Itália,"('França', 'Itália')"
389,5558.8,5563.84,França,Itália,"('França', 'Itália')"
389,5860.56,5869.52,Argentina,Brasil,"('Argentina', 'Brasil')"
389,5892.32,5899.76,Alemanha,França,"('Alemanha', 'França')"
389,5905.92,5912.0,Iraque,Israel,"('Iraque', 'Israel')"
389,5912.16,5920.0,Irlanda,Itália,"('Irlanda', 'Itália')"
389,5912.16,5920.0,Irlanda,Japão,"('Irlanda', 'Japão')"
389,5912.16,5920.0,Itália,Japão,"('Itália', 'Japão')"
389,5939.92,5945.36,Estados Unidos,Portugal,"('Estados Unidos', 'Portugal')"
389,6401.56,6409.32,França,Marrocos,"('França', 'Marrocos')"
389,6431.96,6437.96,Argentina,Marrocos,"('Argentina', 'Marrocos')"
389,6556.84,6564.28,Sudão,Sudão do Sul,"('Sudão', 'Sudão do Sul')"
389,6598.44,6606.04,Estados Unidos,Sudão,"('Estados Unidos', 'Sudão')"
389,6598.44,6606.04,Estados Unidos,Sudão do Sul,"('Estados Unidos', 'Sudão do Sul')"
389,6598.44,6606.04,Sudão,Sudão do Sul,"('Sudão', 'Sudão do Sul')"
389,7874.04,7881.04,Estados Unidos,França,"('Estados Unidos', 'França')"
389,7885.04,7891.04,China,Estados Unidos,"('China', 'Estados Unidos')"
389,7885.04,7891.04,China,França,"('China', 'França')"
389,7885.04,7891.04,Estados Unidos,França,"('Estados Unidos', 'França')"
389,7974.04,7981.04,Argentina,Bolívia,"('Argentina', 'Bolívia')"
389,8085.04,8097.04,China,Estados Unidos,"('China', 'Estados Unidos')"
389,8184.04,8193.04,Brasil,Japão,"('Brasil', 'Japão')"
389,8598.04,8612.04,Barbados,Brasil,"('Barbados', 'Brasil')"
389,8598.04,8612.04,Barbados,México,"('Barbados', 'México')"
389,8598.04,8612.04,Barbados,Noruega,"('Barbados', 'Noruega')"
389,8598.04,8612.04,Brasil,México,"('Brasil', 'México')"
389,8598.04,8612.04,Brasil,Noruega,"('Brasil', 'Noruega')"
389,8598.04,8612.04,México,Noruega,"('México', 'Noruega')"
389,8626.04,8636.04,Estados Unidos,Venezuela,"('Estados Unidos', 'Venezuela')"
389,8732.04,8739.04,Barbados,Venezuela,"('Barbados', 'Venezuela')"
389,8739.04,8747.04,Estados Unidos,Venezuela,"('Estados Unidos', 'Venezuela')"
389,8747.04,8758.04,Barbados,Estados Unidos,"('Barbados', 'Estados Unidos')"
389,8747.04,8758.04,Barbados,Venezuela,"('Barbados', 'Venezuela')"
389,8747.04,8758.04,Estados Unidos,Venezuela,"('Estados Unidos', 'Venezuela')"
389,9084.04,9091.04,Bolívia,México,"('Bolívia', 'México')"
389,10333.04,10338.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,10333.04,10338.04,Brasil,México,"('Brasil', 'México')"
389,10333.04,10338.04,Colômbia,México,"('Colômbia', 'México')"
389,10338.04,10343.04,Brasil,Chile,"('Brasil', 'Chile')"
389,10338.04,10343.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,10338.04,10343.04,Brasil,Estados Unidos,"('Brasil', 'Estados Unidos')"
389,10338.04,10343.04,Chile,Colômbia,"('Chile', 'Colômbia')"
389,10338.04,10343.04,Chile,Estados Unidos,"('Chile', 'Estados Unidos')"
389,10338.04,10343.04,Colômbia,Estados Unidos,"('Colômbia', 'Estados Unidos')"
389,10357.04,10365.04,Argentina,Panamá,"('Argentina', 'Panamá')"
389,10357.04,10365.04,Argentina,Peru,"('Argentina', 'Peru')"
389,10357.04,10365.04,Panamá,Peru,"('Panamá', 'Peru')"
389,10365.04,10370.04,Bolívia,Turquia,"('Bolívia', 'Turquia')"
389,10370.04,10373.04,China,Irã,"('China', 'Irã')"
389,10429.04,10435.04,Argentina,Chile,"('Argentina', 'Chile')"
389,10448.04,10452.04,Peru,Venezuela,"('Peru', 'Venezuela')"
389,10460.04,10462.04,Chile,Peru,"('Chile', 'Peru')"
389,10785.04,10788.04,Argentina,Chile,"('Argentina', 'Chile')"
389,10785.04,10788.04,Argentina,Costa Rica,"('Argentina', 'Costa Rica')"
389,10785.04,10788.04,Argentina,Peru,"('Argentina', 'Peru')"
389,10785.04,10788.04,Chile,Costa Rica,"('Chile', 'Costa Rica')"
389,10785.04,10788.04,Chile,Peru,"('Chile', 'Peru')"
389,10785.04,10788.04,Costa Rica,Peru,"('Costa Rica', 'Peru')"
389,10806.04,10810.04,Argentina,Brasil,"('Argentina', 'Brasil')"
389,10844.04,10849.04,Brasil,México,"('Brasil', 'México')"
389,10928.04,10931.04,Peru,Venezuela,"('Peru', 'Venezuela')"
389,10959.04,10962.04,Argentina,Venezuela,"('Argentina', 'Venezuela')"
389,10965.04,10967.04,Panamá,Venezuela,"('Panamá', 'Venezuela')"
389,10973.04,10975.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,10987.04,10991.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,11035.04,11038.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,11044.04,11048.04,China,Rússia,"('China', 'Rússia')"
389,11049.04,11051.04,Irã,Venezuela,"('Irã', 'Venezuela')"
389,11074.04,11076.04,China,Rússia,"('China', 'Rússia')"
389,11084.04,11087.04,China,Rússia,"('China', 'Rússia')"
389,11084.04,11087.04,China,Turquia,"('China', 'Turquia')"
389,11084.04,11087.04,Rússia,Turquia,"('Rússia', 'Turquia')"
389,11100.04,11103.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,11111.04,11117.04,China,Rússia,"('China', 'Rússia')"
389,11117.04,11120.04,Irã,Turquia,"('Irã', 'Turquia')"
389,11123.04,11127.04,Rússia,Venezuela,"('Rússia', 'Venezuela')"
389,11183.04,11186.04,Brasil,México,"('Brasil', 'México')"
389,11389.04,11391.04,Brasil,México,"('Brasil', 'México')"
389,11513.04,11516.04,Colômbia,Venezuela,"('Colômbia', 'Venezuela')"
389,11649.04,11655.04,Brasil,Colômbia,"('Brasil', 'Colômbia')"
389,11862.04,11865.04,Argentina,Peru,"('Argentina', 'Peru')"
389,13020.04,13023.04,Brasil,Espanha,"('Brasil', 'Espanha')"
389,13183.04,13186.04,Colômbia,Venezuela,"('Colômbia', 'Venezuela')"
389,14374.84,14379.84,China,Rússia,"('China', 'Rússia')"
389,14410.84,14415.84,Estados Unidos,Síria,"('Estados Unidos', 'Síria')"
389,14556.84,14564.84,Estados Unidos,Rússia,"('Estados Unidos', 'Rússia')"
389,14569.84,14573.84,Estados Unidos,Rússia,"('Estados Unidos', 'Rússia')"
389,14675.84,14683.84,Noruega,Polônia,"('Noruega', 'Polônia')"
390,165.0,170.0,Irã,Israel,"('Irã', 'Israel')"
390,1128.0,1134.0,China,Vanuatu,"('China', 'Vanuatu')"
390,1134.0,1139.0,China,Estados Unidos,"('China', 'Estados Unidos')"
390,2070.0,2075.0,China,Estados Unidos,"('China', 'Estados Unidos')"
390,2884.34,2888.34,China,Taiwan,"('China', 'Taiwan')"
390,3333.34,3337.34,Austrália,Estados Unidos,"('Austrália', 'Estados Unidos')"
390,3665.34,3669.34,Argentina,Chile,"('Argentina', 'Chile')"
390,4120.34,4125.34,Brasil,Filipinas,"('Brasil', 'Filipinas')"
390,4163.34,4166.34,Brasil,Filipinas,"('Brasil', 'Filipinas')"
390,5891.74,5897.18,Estados Unidos,México,"('Estados Unidos', 'México')"
390,6433.18,6442.7,Uruguai,Venezuela,"('Uruguai', 'Venezuela')"
390,6442.7,6453.26,Uruguai,Venezuela,"('Uruguai', 'Venezuela')"
390,6476.22,6485.74,Uruguai,Venezuela,"('Uruguai', 'Venezuela')"
390,6538.22,6547.9,Argentina,Brasil,"('Argentina', 'Brasil')"
390,6538.22,6547.9,Argentina,Venezuela,"('Argentina', 'Venezuela')"
390,6538.22,6547.9,Brasil,Venezuela,"('Brasil', 'Venezuela')"
390,6574.06,6580.06,Argentina,Brasil,"('Argentina', 'Brasil')"
390,6574.06,6580.06,Argentina,Venezuela,"('Argentina', 'Venezuela')"
390,6574.06,6580.06,Brasil,Venezuela,"('Brasil', 'Venezuela')"
390,6606.94,6615.74,Brasil,México,"('Brasil', 'México')"
390,6659.98,6666.54,Brasil,Estados Unidos,"('Brasil', 'Estados Unidos')"
390,6698.7,6706.86,Argentina,Venezuela,"('Argentina', 'Venezuela')"
390,7920.18,7929.94,Brasil,Chile,"('Brasil', 'Chile')"
390,7949.14,7961.54,Ucrânia,Venezuela,"('Ucrânia', 'Venezuela')"
390,7949.14,7961.54,Palestina,Ucrânia,"('Palestina', 'Ucrânia')"
390,7949.14,7961.54,Palestina,Venezuela,"('Palestina', 'Venezuela')"
390,7969.5,7978.02,Brasil,Colômbia,"('Brasil', 'Colômbia')"
390,7969.5,7978.02,Brasil,México,"('Brasil', 'México')"
390,7969.5,7978.02,Colômbia,México,"('Colômbia', 'México')"
390,7997.18,8005.02,Colômbia,Venezuela,"('Colômbia', 'Venezuela')"
390,8085.66,8095.66,Bolívia,Chile,"('Bolívia', 'Chile')"
390,8574.66,8592.66,Bolívia,Peru,"('Bolívia', 'Peru')"
390,8896.66,8904.66,Colômbia,Peru,"('Colômbia', 'Peru')"
390,9107.66,9116.66,Brasil,Venezuela,"('Brasil', 'Venezuela')"
390,9349.66,9357.66,Brasil,Venezuela,"('Brasil', 'Venezuela')"
390,9506.66,9517.66,Estados Unidos,México,"('Estados Unidos', 'México')"
390,9671.66,9682.66,Alemanha,Chile,"('Alemanha', 'Chile')"
390,9707.66,9712.66,Alemanha,Chile,"('Alemanha', 'Chile')"
390,9921.66,9928.66,Paquistão,Índia,"('Paquistão', 'Índia')"
390,10024.66,10031.66,Bangladesh,Índia,"('Bangladesh', 'Índia')"
390,10031.66,10036.66,Paquistão,Índia,"('Paquistão', 'Índia')"
390,10036.66,10042.66,Paquistão,Índia,"('Paquistão', 'Índia')"
390,10042.66,10046.66,Paquistão,Índia,"('Paquistão', 'Índia')"
390,10046.66,10050.66,Bangladesh,Índia,"('Bangladesh', 'Índia')"
390,10189.66,10193.66,China,Índia,"('China', 'Índia')"
390,10716.66,10719.66,China,Paquistão,"('China', 'Paquistão')"
390,10773.66,10777.66,Bangladesh,Maldivas,"('Bangladesh', 'Maldivas')"
390,10773.66,10777.66,Bangladesh,Paquistão,"('Bangladesh', 'Paquistão')"
390,10773.66,10777.66,Maldivas,Paquistão,"('Maldivas', 'Paquistão')"
390,10815.66,10820.66,China,Paquistão,"('China', 'Paquistão')"
390,10976.66,10981.66,China,Índia,"('China', 'Índia')"
390,11059.66,11062.66,Bangladesh,China,"('Bangladesh', 'China')"
390,11513.66,11516.66,Bangladesh,Índia,"('Bangladesh', 'Índia')"
390,11842.66,11845.66,China,Estados Unidos,"('China', 'Estados Unidos')"
390,12542.66,12544.66,Azerbaijão,Israel,"('Azerbaijão', 'Israel')"
390,12617.66,12622.66,Irã,Israel,"('Irã', 'Israel')"
390,14170.18,14176.18,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
390,14607.18,14610.18,Israel,Japão,"('Israel', 'Japão')"
390,14664.18,14667.18,Estados Unidos,Japão,"('Estados Unidos', 'Japão')"
390,14715.18,14718.18,Israel,Rússia,"('Israel', 'Rússia')"
391,176.0,180.0,Mali,Suécia,"('Mali', 'Suécia')"
391,462.0,475.0,Bangladesh,Emirados Árabes Unidos,"('Bangladesh', 'Emirados Árabes Unidos')"
391,475.0,488.0,Bangladesh,Emirados Árabes Unidos,"('Bangladesh', 'Emirados Árabes Unidos')"
391,596.0,610.0,Brasil,Indonésia,"('Brasil', 'Indonésia')"
391,1024.0,1033.0,China,Estados Unidos,"('China', 'Estados Unidos')"
391,2603.0,2611.0,Estados Unidos,Palestina,"('Estados Unidos', 'Palestina')"
391,2635.0,2641.0,Estados Unidos,Palestina,"('Estados Unidos', 'Palestina')"
391,3560.0,3565.0,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
391,6296.0,6298.0,Itália,Polônia,"('Itália', 'Polônia')"
391,6308.0,6312.0,China,Estados Unidos,"('China', 'Estados Unidos')"
391,6429.78,6439.46,Belize,Dominica,"('Belize', 'Dominica')"
391,6429.78,6439.46,Belize,Samoa,"('Belize', 'Samoa')"
391,6429.78,6439.46,Dominica,Samoa,"('Dominica', 'Samoa')"
391,6439.46,6448.9,Kiribati,Kosovo,"('Kiribati', 'Kosovo')"
